Godina,"Stopa završenosti, osnovno obrazovanje, ukupno (%)","Stopa završenosti, osnovno obrazovanje, žene (%)","Stopa završenosti, osnovno obrazovanje, muškarci (%)","Stopa završenosti, niže srednje obrazovanje, ukupno (%)","Stopa završenosti, niže srednje obrazovanje, žene (%)","Stopa završenosti, niže srednje obrazovanje, muškarci (%)","Stopa završenosti, više srednje obrazovanje, ukupno (%)","Stopa završenosti, više srednje obrazovanje, žene (%)","Stopa završenosti, više srednje obrazovanje, muškarci (%)"
2007,99.7,99.7,99.7,98.0,97.7,98.3,91.7,92.4,90.9
2008,99.7,99.7,99.7,98.1,97.8,98.4,92.3,93.1,91.5
2009,99.7,99.7,99.7,98.2,98.0,98.5,92.9,93.7,92.2
2010,99.7,99.7,99.7,98.3,98.1,98.5,93.5,94.2,92.8
2011,99.7,99.7,99.7,98.4,98.2,98.6,94.1,94.7,93.5
2012,99.7,99.7,99.7,98.5,98.3,98.6,94.6,95.1,94.2
2013,99.7,99.7,99.7,98.5,98.4,98.6,95.1,95.5,94.7
2014,99.7,99.7,99.7,98.5,98.4,98.6,95.4,95.8,95.1
2015,99.7,99.7,99.7,98.5,98.5,98.5,95.7,96.1,95.3
2016,99.7,99.7,99.7,98.5,98.5,98.5,96.0,96.3,95.7
2017,99.7,99.7,99.7,98.5,98.6,98.5,96.3,96.5,96.0
2018,99.7,99.7,99.7,98.5,98.6,98.5,96.6,96.8,96.4
2019,99.7,99.7,99.7,98.5,98.6,98.4,96.9,97.0,96.7
2020,99.7,99.7,99.7,98.6,98.7,98.4,97.1,97.4,96.9
2021,99.7,99.7,99.7,98.6,98.7,98.5,97.4,97.6,97.2
2022,99.7,99.7,99.7,98.6,98.8,98.5,97.6,97.9,97.4
2023,99.7,99.7,99.7,98.7,98.8,98.6,97.9,98.2,97.6
2024,99.7,99.7,99.7,98.8,98.9,98.6,98.1,98.4,97.8
